label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
5	1367 kg	0.6848	hamster	Anaheim	410	825	1690	0.5533	-0.5194	Reilly	0.1066	Reilly	1446	1599 N
5	-1868 kg	-0.4165	hamster	Modesto	1899	-734	-707	0.9204	1.6966	Lise	0.7629	Reilly	1742	-346 N
9	-272 kg	1.4255	guinea pig	Fremont	1280	8	2267	-0.2064	0.151	Andrew	0.7268	andrew	635	629 N
7	271 kg	-0.3809	dog	Stockton	-1235	779	-10	n/a	-0.9011	Chris	1.3498	Tony	496	181 N
2	12 kg	1.8918	chicken	None	886	498	2379	-0.0644	-1.6765	Lise	-0.155	Fabrice	248	441 N
8	-181 kg	0.8006	rabbit	Moreno Valley	84	174	214	0.6626	0.1476	Reilly	0.5519	Eriq	566	-745 N
3	377 kg	1.0575	pig	Long Beach, San Jose, San Francisco	-171	48	-669	0.3087	0.1536	Andrew	-1.1971	Inan	450	355 N
6	350 kg	-1.3976	rat	Stockton	818	433	-658	1.7521	-0.7101	Sam	1.0649	Michael	705	637 N
8	1251 kg	1.9203	rabbit	Santa Clarita, Los Angeles	-1056	1359	-1739	1.2929	-0.4057	Tony	-0.1556	Eriq	-364	-265 N
4	-313 kg	1.5764	ferret	Riverside	-61	1343	3427	0.8043	0.5262	Vani	0.8747	Sam	-248	407 N
1	1098 kg	-1.026	fish	Fresno	1024	808	287	-0.2481	1.8343	Michael	1.3754	Vani	-1089	741 N
3	1003 kg	1.9723	pig	Long Beach, San Francisco	-528	36	106	1.0383	-0.3291	Sam	-0.1817	Tony	995	734 N
6	1262 kg	1.1963	rat	Stockton	-888	1784	141	-0.3988	-0.7281	Sam	1.9041	Lise	1577	1762 N
4	1038 kg	2.1611	ferret	Riverside	164	439	1865	-0.1895	1.2841	Vani	0.8269	Sam	-524	859 N
4	517 kg	0.2115	ferret	Riverside	700	648	470	-0.3728	0.7794	Vani	-0.3694	Sam	878	1913 N
7	399 kg	0.4253	reptile	Santa Ana	680	191	-679	0.1961	1.5379	Chris	-0.3151	Tony	695	475 N
9	861 kg	2.9162	bird	Sacramento	-88	919	2237	-0.671	-0.4879	Tony	0.5105	Andrew	1428	894 N
6	-246 kg	1.7434	rat	Stockton	192	-886	1474	0.8085	1.9576	Chris	0.8448	Lise	1591	273 N
7	79 kg	1.2327	reptile	Chula Vista	-547	-1684	1696	0.7802	0.9769	Chris	0.5294	Tony	-591	1956 N
5	14 kg	-0.9354	hamster	Anaheim	-531	-324	316	-0.6806	-0.5517	Inan	-1.2941	Reilly	619	308 N
7	1654 kg	1.3724	reptile	Chula Vista	545	265	937	-0.1634	-0.7795	Chris	0.5094	Tony	-1096	481 N
4	1222 kg	1.2202	ferret	rIVERSIDE	648	-160	2219	0.7271	-0.5894	Vani	-1.2473	Sam	-4	1097 N
0	-283 kg	1.432	cat	Sacramento	227	1420	1741	0.3133	-0.3214	N/A	-0.2778	Lise	-8	579 N
6	-297 kg	0.9962	rat	Stockton	353	644	1441	-0.3545	1.4121	Eriq	0.0859	Michael	2217	942 N
2	1024 kg	0.7685	chicken	Bakersfield	849	-26	996	1.8433	2.2375	Inan	0.4452	Fabrice	147	1553 N
4	-790 kg	-0.0107	ferret	Riverside	800	115	1399	0.4901	0.1196	Vani	0.9745	Sam	-1097	946 N
4	342 kg	0.7591	ferret	Riverside	726	723	-390	0.2582	-0.0737	Vani	-0.7936	Sam	1374	68 N
4	358 kg	0.3576	FERRET	Riverside	NULL		1290	0.2365	0.1962	Vani	2.0793	Sam	-988	713 N
2	378 kg	-0.0986	chicken	Bakersfield	93	2056	-740	0.9228	-0.6576	Inan	1.0686	Fabrice	-445	851 N
0	1264 kg	0.5096	cat	Sacramento	502	812	447	0.8923	0.5719	Fabrice	1.2561	Lise	1046	1009 N
3	195 kg	0.1649	pig	Irvine, San Jose	1154	1686	670		1.1455	Andrew	0.3209	Chris	-305	2144 N
5	1098 kg	0.7231	hamster	Anaheim, Oakland, San Bernardino, San Diego	-87	-1941	-1444	1.3107	0.617	Lise	1.4089	Reilly	698	282 N
1	470 kg	1.8473	fish	Fresno	-219	-242	557	0.8643	1.4525	Michael	1.4094	Vani	1074	898 N
0	276 kg	0.5572	cat	Sacramento	-614	129	1071	0.2503	0.9071	Fabrice	0.5073	Lise	1013	18 N
7	-208 kg	0.7008	reptile	Chula Vista	370	-1373	-489	0.5829	0.5072	Chris	-0.1037	Tony	-479	481 N
9	1144 kg	0.8826	guinea pig	Fremont	-333	1267	-137	0.3636	2.5911	Tony	1.0457	Andrew	1878	373 N
6	391 kg	0.5135	rat	Stockton	1464	-608	-132	0.6859	0.384	Eriq	1.1535	Michael	1880	514 N
1	341 kg	1.3423	fish	Fresno	13	-190	1392	0.0389	0.98	Michael	0.6465	Vani	922	2059 N
0	618 kg	1.2553	cat	Sacramento	628	1063	819	-0.283	0.4318	Fabrice	0.9435	Lise	2183	1858 N
6	159 kg	0.3776	rat	Stockton	348	334	1251	0.519	0.4699	Sam	1.3066	Eriq	1412	905 N
3	627 kg	2.2415	pig	Fremont	1062	2069	803	0.5065	1.5508	Andrew	0.4602	Chris	676	46 N
2	286 kg	1.7674	chicken	Bakersfield	2006	2003	1522	-0.5558	0.5222	Inan	0.1321	Eriq	799	324 N
2	841 kg	-0.611	chicken	Bakersfield	1498	373	-428	1.5424	-0.1473	Inan	-0.3941	Fabrice	803	-112 N
1	1439 kg	2.828	fish	Fresno	-582	-1203	920	0.5977	-0.4457	Michael	-0.2331	Sam	1444	1853 N
5	906 kg	-0.4408	hamster	Anaheim, Oakland	-319	184	79	-0.3303	0.253	Lise	0.1644	Reilly	2040	-1177 N
0	635 kg	-0.9662	cat	Riverside	684	1816	1422	2.0893	-0.1074	Fabrice	-0.3282	lISE	-699	877 N
9	1712 kg	-0.823	guinea pig	Fremont	1201	-762	1241	0.6819	1.4933	Tony	0.5531	mICHAEL	2080	132 N
7	1138 kg	2.4692	reptile	Chula Vista	1196	361	78	0.128	1.6461	Chris	0.0035	Tony	24	-184 N
2	-337 kg	2.1702	chicken	Bakersfield	1416	643	1118	-0.0637	0.8552	Tony	1.4623	Andrew	-961	-343 N
2	652 kg	0.3946	chicken	Bakersfield	162	-394	980	0.8215	-1.5322	Inan	-0.0119	Eriq	-860	616 N
6	-635 kg	1.0912	rat	Stockton	762	419	1655	1.1269	0.8763	Eriq	0.4509	Michael	1001	29 N
1	945 kg	3.1106	fish	Chula Vista	766	1616	1148	0.6021	0.4381	Tony	2.4661	Vani	1071	1196 N
5	930 kg	-0.0922	hamster	Modesto, San Bernardino, Anaheim, Oakland	39	568	787	0.6292	-0.932	Chris	-0.2997	Reilly	1108	702 N
0	1502 kg	-0.0269	cat	Sacramento	1068	222	-1554	0.1665	0.498	Fabrice	1.4432	Lise	927	193 N
8	2715 kg	1.535	rabbit	Santa Clarita	532	81	-787	0.4362	0.5971	Reilly	0.3908	Eriq	-349	260 N
7	417 kg	-0.8654	reptile	Fresno	100	76	-296	1.6634	2.2507	Chris	-0.9396	Tony	1806	342 N
2	393 kg	0.7237	chicken	Bakersfield	823	-925	945	0.1399	1.7796	Inan	-0.2987	Fabrice	201	594 N
8	645 kg	1.3887	rabbit	Santa Clarita, Moreno Valley	272	630	579	0.7617	0.2962	Reilly	0.3637	Eriq	-193	-280 N
3	358 kg	1.4728	pig	Irvine, San Francisco	609	1093	1090	0.7648	1.6979	Andrew	1.7484	Inan	805	601 N
6	135 kg	-1.7039	rat	Stockton	-819	-239	677	-0.7648	-0.8977	Eriq	-0.3484	Michael	1892	-374 N
2	353 kg	0.896	chicken	Bakersfield	159	235	72	0.8466	2.9027	Inan	-0.7066	Fabrice	33	693 N
6	1702 kg	-1.5638	rat	Stockton	40	-725	2415	0.5886	-0.6665	Eriq	1.083	Lise	520	357 N
7	989 kg	-0.1721	reptile	Santa Ana	917	-761	859	0.7775	0.9473	Andrew	0.7635	Tony	894	1233 N
8	1361 kg	-1.0877	rabbit	Los Angeles	142	1437	1252	1.4956	0.8506	Reilly	-1.4466	n/a	413	291 N
2	506 kg	0.9293	chicken	Bakersfield	25	1890	795	0.8064	-0.9501	Inan	-1.6435	Fabrice	-92	355 N
7	768 kg	0.1521	dog	Chula Vista	374	-172	89	NULL	1.9608	Chris	-0.168	Tony	105	711 N
2	12 kg		chicken	Bakersfield	1213	1669	1636	1.573	1.4356	Inan	0.8627	Fabrice	829	-548 N
8	1044 kg	0.7671	rabbit	Moreno Valley	-739	1074	261	1.216	0.6178	Reilly	0.2958	Eriq	500	-96 N
4	-922 kg	0.3622	ferret	Riverside	-501	1618	757	0.812	1.056	Vani	-0.3412	Sam	2397	1264 N
1	1063 kg	-1.1973	fish	Oakland	1044	-9	2512	1.1686	-0.4155	Michael	0.4892	Vani	972	519 N
8	535 kg	0.2631	rabbit	Santa Clarita, Moreno Valley	1159	3144	-507	0.3113	-0.5722	Vani	-0.7041	eRIQ	121	562 N
4	161 kg	1.2956	ferret	Riverside	938	1742	1654	0.8177	0.5785	Vani	-0.9144	Sam	-1047	174 N
8	1534 kg	1.552	rabbit	Los Angeles, Moreno Valley	93	1041	1513	0.9483	-0.1761	Reilly	-0.2712	Eriq	1194	-30 N
3	1906 kg	0.3936	pig	Long Beach	1060	-874	-726	0.5186	0.1803	Andrew	0.8378	Inan	1830	735 N
0	650 kg	-0.7938	cat	Sacramento	-317	473	-35	0.4785	0.8792	Fabrice	0.6398	Lise	-150	595 N
9	128 kg	1.2579	guinea pig	Fremont	1535	2212	1499	-1.4927	-0.16	Tony	0.0585	Andrew	1709	535 N
7	575 kg	-0.384	reptile	Irvine	627	930	-346	0.5116	0.2098	Chris	1.0285	Tony	1087	575 N
7	871 kg	-0.9335	dog	Santa Ana	-311	666	-1374	0.4686	1.0744	Chris	-1.4268	Tony	-691	226 N
8	1052 kg	0.2192	rabbit	Moreno Valley, Santa Clarita	-588	641	685	-0.0493	0.9446	Reilly	1.0183	Eriq	-15	30 N
3	369 kg	0.7218	pig	San Jose, San Francisco	1170	649	921	0.9782	0.8192	andrew	1.1991	Michael	-97	1789 N
3	712 kg	1.2027	pig	San Diego, Oakland	1125	373	1147	0.1078	1.7605	Andrew	-1.6583	Chris	1370	-476 N
2	889 kg	-0.1443	chicken	Bakersfield	582	553	989	0.6523	1.5573	Inan	-0.4289	Fabrice	1849	732 N
1	604 kg	2.0377	fish	Riverside	143	-376	-203	0.3693	1.8076	Michael	0.5334	Vani	666	284 N
9	1036 kg	1.9748	guinea pig	Fremont	25	927	1970	-0.0907	0.617	Tony	0.5333	Andrew	112	1113 N
1	1050 kg	-0.0207	fish	Fresno	-598	121	1588	-0.2921	-0.1824	Michael	?	Vani	-1248	383 N
3	892 kg	2.036	pig	San Francisco, San Jose	619	735	-357	0.7346	-0.3817	Andrew	-1.015	Chris	1058	1161 N
8	1491 kg	1.7047	rabbit	Los Angeles, Santa Clarita	748	1006	1373	1.0673	0.5307	Reilly	-0.008	Eriq	1281	-68 N
4	1106 kg	1.0165	ferret	Riverside	1031	593	1808	-0.3872	1.2518	Andrew	-1.4206	Sam	-2498	834 N
4	-341 kg	1.5546	ferret	Riverside	117	2309	653	0.4417	-0.7374	Vani	0.7658	Sam	905	1094 N
9	477 kg	1.1912	guinea pig	Fremont	1338	67	190	0.2368	1.8688	Tony	0.4137	Inan	3016	341 N
0	443 kg	N/A	cat	Fresno	-86	2537	-117	0.1016	-1.2375	Fabrice	1.3568	Lise	719	1455 N
7	-39 kg	0.4314	reptile	Santa Ana	951	288	1020	-0.0974	0.6044	Chris	1.9586	Tony	399	-295 N
4	-358 kg	2.5577	ferret	Riverside	551	2080	754	1.7826	0.1008	Andrew	0.7967	Sam	151	525 N
0	704 kg	1.1294	cat	Sacramento	-272	989	1603	0.0236	0.9803	Fabrice	0.8186	Lise	487	1164 N
4	691 kg	1.5369	ferret	Riverside	1121	720	1692	1.193	1.3815	Vani	1.4942	Sam	-655	258 N
2	1890 kg	1.2202	chicken	Bakersfield	587	664	1882	0.5054	0.0997	Inan	1.0471	Fabrice	498	358 N
5	701 kg	2.731	hamster	San Bernardino, Modesto	982	512	1114	-1.1715	1.1051	Lise	0.8994	Reilly	349	947 N
6	-326 kg	N/A	rat	Stockton	1162	-430	1485	1.5349	-1.2236	Sam	1.378	Michael	1418	1047 N
0	401 kg	0.373	cat	Sacramento	460	1341	-581	n/a	-1.7023	Fabrice	1.3023	Sam	736	-177 N
8	613 kg	0.7631	rabbit	Santa Clarita	-512	994	1330	0.8143	1.564	Reilly	-0.4947	Eriq	-141	174 N
8	922 kg	3.3993	rabbit	Moreno Valley	1347	410	-660	0.1164	-0.2257	Reilly	0.3695	Eriq	155	1280 N
9	603 kg	1.7285	bird	Fremont	-268	None	1424	0.5628	-0.5955	Tony	0.5533	Andrew	803	622 N
8	-673 kg	1.4818	rabbit	Moreno Valley, Santa Clarita	-71	981	267	0.8217	-0.0007	Reilly	0.5633	Andrew	769	-162 N
1	1437 kg	2.2111	fish	Riverside	605	-510	1310	-1.0812	0.1234	Michael	1.2825	Michael	256	402 N
7	796 kg	0.3144	dog	Santa Ana	775	731	2137	-1.0065	-0.8959	Chris		Inan	2584	-386 N
6	-384 kg	0.0453	rat	Stockton	1493	-532	1524	1.5436	2.2013	Eriq	0.5812	Chris	585	-685 N
4	1572 kg	-0.6279	ferret	Riverside	641	897	1260	0.7352	0.7743	Vani	1.4216	Sam	847	492 N
1	1047 kg	1.8933	fish	Fresno	786	-881	37	-0.3464	-0.8098	Michael	0.3927	Vani	-287	1123 N
9	1021 kg	2.1258	guinea pig	Fremont	908	1245	-721	0.0595	1.7613	Tony	-0.3266	Andrew	2197	273 N
8	664 kg	-0.3804	rabbit	Santa Clarita	-166	1031	-1469	2.0358	2.0979	Reilly	1.9012	Eriq	-310	78 N
9	1389 kg	1.7125	bird	Fremont	543	2003	-1818	0.1288	0.5092	Tony	-0.3024	Andrew	2655	1448 N
0	972 kg	-1.1416	Cat	Sacramento	1069	1447	270	1.3152	-0.7761	Fabrice	0.762	Lise	501	269 N
3	-470 kg	-0.7468	pig	Irvine	671	878	382	0.5644	-0.0791	Michael	0.6731	Chris	178	309 N
2	-89 kg	1.5237	chicken	Bakersfield	-368	-913	-1389	0.3311	2.329	Inan	0.6358	Fabrice	-128	1658 N
9	975 kg	1.4387	guinea pig	Fremont	1436	131	674	0.3923	0.7319	Fabrice	0.8656	Andrew	3118	1435 N
1	1428 kg	0.7875	fish	Fresno	659	2559	-181	0.297	1.5695	mICHAEL	-0.6867	Vani	412	370 N
1		1.4028	pig	Fresno	38	327	1271	0.7471	1.3052	Michael	0.5439	Sam	-720	334 N
8	1449 kg	-1.191	rabbit	Santa Clarita	-587	1828	728	0.6758	1.9345	Reilly	-1.1276	Eriq	-288	2542 N
5	-117 kg	-0.7197	hamster	Anaheim	-613	-585	110	0.2819	1.325	Lise	0.0587	Reilly	3271	-234 N
7	-551 kg	-0.0237	reptile	Chula Vista	961	-210	702	0.7055	2.276	Tony	1.2682	Tony	-399	532 N
8	342 kg	0.8333	rabbit	Santa Clarita	1048	1589	139	1.0129	1.738	Reilly	0.2714	Fabrice	-660	876 N
3	105 kg	-0.4994	pig	Santa Clarita, Moreno Valley	1400	-6	-601	0.796	1.0942	Andrew	0.0596	Chris	-300	1252 N
3	913 kg	-0.0613	pig	San Francisco, San Jose	1875	1762	-291	0.8306	3.2192	Andrew	-0.2494	Chris	2411	964 N
4	110 kg	-1.8176	ferret	Riverside	1122	897	409	0.8448	-0.0464	Vani	1.5068	Sam	-317	226 N
9	720 kg	1.7229	guinea pig	Fremont	1596	22	360	1.435	1.5203	Tony	0.7276	Andrew	1112	772 N
6	289 kg	-0.1651	rat	Stockton	154	1442	N/A	0.9287	-0.0984	Eriq	0.804	michael	1330	466 N
2	123 kg	-0.9634	chicken	Bakersfield	222	888	2181	0.6041	0.9032	Inan	0.1125	Michael	1395	1052 N
4	-21 kg	2.3639	ferret	Riverside	2364	478	2335	0.7447	2.0219	Vani	0.7204	Sam	-155	830 N
7	-93 kg	1.0287	reptile	Santa Ana	-216	-117	-163	1.833	1.5034	Chris	1.1111	Tony	1603	-591 N
8	503 kg	1.4712	rabbit	Santa Clarita	445	1098	966	1.3566	-0.8748	Reilly	0.0072	Eriq	438	768 N
6	857 kg	0.4525	rat	NULL	-774	-446	1646	1.1063	1.4932	Michael	0.6311	Michael	1571	381 N
1	1510 kg	0.7451	fish	Fresno	216	764	465	-0.2715	-0.3473	Michael	0.8904	Vani	-127	-97 N
3	-386 kg	0.8287	pig	Long Beach, San Jose, Irvine	1466	2009	1194	0.0043	1.283	Andrew	0.3705	Chris	1706	-445 N
2	437 kg	0.2857	chicken	Bakersfield	579	1216	1269	1.0236	0.6893	Inan	0.7975	Michael	1775	597 N
2	-468 kg	0.0022	chicken	Bakersfield	845	1373	186	-0.7038	0.7256	Inan	0.8036	Fabrice	66	76 N
0	-120 kg	-0.6654	cat	Sacramento	303	441	140	0.7236	-0.7954	Fabrice	-0.184	Lise	-774	1071 N
4	174 kg	0.0488	ferret	Riverside	836	766	1182	0.8941	0.5201	Vani	2.9563	Sam	1813	-385 N
1	1440 kg	0.1526	fish	Fresno	899	-184	2483	N/A	0.2378	Chris	-0.3324	ERIQ	-673	804 N
7	728 kg	-0.7226	dog	Santa Ana	618	309	367	-0.4784	1.5627	Chris	0.3445	Andrew	154	-605 N
5	-26 kg	-0.8855	hamster	Oakland, Modesto	509	1501	-118		2.284	Lise	0.9867	Michael	1132	248 N
4	-971 kg	1.3557	ferret	Riverside	122	1	1044	2.224	-0.3357	Vani	0.6338	Sam	-178	199 N
5	906 kg	-1.1067	hamster	Modesto	-8	-758	-1090	0.5891	1.6356	Lise	0.8596	Reilly	831	623 N
2	777 kg	1.1298	chicken	Bakersfield	863	1899	2195	0.2321	-0.4167	Inan	0.3341	Fabrice	280	-505 N
2	1581 kg	0.2564	chicken	Bakersfield	-612	701	-685	1.4444	-0.2813	Inan	-0.3767	Fabrice	72	-71 N
1	633 kg	0.7696	fish	Bakersfield	156	-261	1046	0.9571	-0.8453	Michael	2.0341	Vani	570	1163 N
1	1333 kg	0.0648	fish	Fresno	471	-1676	282	0.9154	0.9014	Michael	0.2646	Vani	1208	-799 N
9	51 kg	1.0804	guinea pig	Fremont	465	920	1741	1.1127	-0.0168	Tony	1.2096	Andrew	938	70 N
3	-207 kg	1.4308	pig	San Jose	273	1114	276	0.9746	0.7663	Andrew	0.0143	Chris	1435	371 N
0	1280 kg	-0.5656	cat	Sacramento	-55	2675	-785	-0.2537	-0.8379	Fabrice	0.909	Lise	1443	729 N
8	210 kg	0.5573	rabbit	Moreno Valley, Santa Clarita	710	2778	177	0.804	0.6567	Reilly	-0.3388	Eriq	?	-449 N
2	958 kg	3.0516	chicken	Bakersfield	-292	969	2293	1.0404	1.5496	Inan	-0.9646	Fabrice	1147	1614 N
2	726 kg	0.3795	chicken	Bakersfield	581	213	412	-0.5602	1.069	Inan	-0.0989	Fabrice	743	396 N
7	-68 kg	-0.2148	dog	Chula Vista	-126	-247	2469	0.9637	1.7913	Chris	0.315	Tony	-370	785 N
5	-158 kg	-0.1649	hamster	sAN dIEGO, oAKLAND	1137	438	504	0.0414	-0.8177	Lise	-0.2612	Lise	1783	438 N
4	716 kg	1.8306	ferret	Riverside	372	1248	3214	0.4505	0.352	Vani	1.2208	Sam	279	1802 N
5	-439 kg	3.004	hamster	San Diego, Oakland, Modesto	1087	-3	607	-0.0998	-1.6536	Michael	-0.948	Reilly	NULL	
3	427 kg	1.1372	pig	San Jose	1353	1852	8	0.868	0.9706	Andrew	-0.1095	Eriq	724	264 N
8	n/a	-0.6437	Rabbit	Moreno Valley, Los Angeles	926	1823	-1341	1.0872	1.6757	Reilly	-0.2314	Eriq	107	-709 N
0	963 kg	-0.239	cat	Sacramento	11	915	1661	1.6844	1.0211	Fabrice	-1.0335	Lise	-11	72 N
1	1340 kg	-0.2439	FISH	Fresno	92	1575	378	0.7373	-0.8912	Michael	-0.9598	Sam	-729	-351 N
0	1179 kg	0.8148	cat	Sacramento	-369	-442	-1359	0.5085	-0.2715	Michael	0.6095	Lise	-572	40 N
0	290 kg	-0.0442	cat	Sacramento	1496	1104	-239	0.5378	1.4542	Fabrice	0.2972	Lise	814	967 N
3	1267 kg	-0.0468	pig	Long Beach, San Francisco, Irvine	2427	111	-6	0.2205	0.6333	Andrew	-0.1086	Chris	-402	1427 N
9	1604 kg	0.4806	bird	Fremont	1769	2819	1132	-0.6425	0.315	LISE	1.1596	Andrew	1193	358 N
8	-220 kg	2.2474	rabbit	Los Angeles	605	274	-258	-0.1422	-0.7534	Vani	1.053	Eriq	1581	429 N
9	-215 kg	1.6705	bird	Fremont	523	407	873	0.0765	-0.1461	Tony	-0.34	Andrew	736	53 N
5	1702 kg	-2.0792	hamster	n/a	577	-171	503	0.057	0.4818	Lise	-0.1687	Reilly	1464	-130 N
5	962 kg	-0.2706	hamster	Anaheim, Modesto	1018	1578	551	1.2986	-0.3966	Lise	0.0064	Reilly	395	-203 N
9	1164 kg	1.4945	bird	Fremont	2258	-602	2131	0.1517	-2.3066	Tony	0.8244	Andrew	589	204 N
5	532 kg	1.5212	hamster	San Diego	323	894	-1772	0.0121	0.4385	Eriq	-0.2191	Inan	859	988 N
8	764 kg	0.2234	rabbit	Moreno Valley	-124	85	-963	0.4499	-0.9397	Reilly	-1.6378	Eriq	135	1551 N
5	-203 kg	0.2273	hamster	San Diego, Modesto	219	556	-1563	1.3401	0.1089	Lise	-0.2737	Reilly	1463	-225 N
9	978 kg	0.9095	guinea pig	Fremont	1123	1383	501	0.6694	0.3837	Tony	1.1017	Fabrice	809	-430 N
3	712 kg	0.2292	pig	San Francisco	1265	618	1112	-0.1272	-0.4887	Andrew	-0.2713	Reilly	-1324	-107 N
5	419 kg	-0.2129	hamster	Oakland, Anaheim	-761	-1317	333	0.0694	0.9558	Lise	-0.0481	Reilly	1464	168 N
6	108 kg	0.7431	rat	Chula Vista	-758	-1326	-691	0.842	-0.3741	Sam	1.4912	Michael	641	141 N
7	-11 kg	1.3072	dog	Santa Ana	-226	474	-595	1.5069	1.7724	Chris	0.3448	Tony	2215	-202 N
5	311 kg	0.5761	hamster	San Diego, Anaheim	-194	-1353	-436	0.3744	-0.5122	Lise	n/a	Reilly	1522	806 N
7	105 kg	-0.4257	reptile	Fresno	702	312	403	0.4521	-1.3856	Chris	1.2071	Tony	1310	397 N
4	970 kg	0.9745	ferret	n/a	-158	205	2108	-0.191	-0.5084	vANI	1.7242	Sam	214	569 N
2	621 kg	-0.015	chicken	Bakersfield	1844	290	769	0.8729	-0.855	Inan	-0.6163	Fabrice	2086	-760 N
6	70 kg	0.6948	rat	Stockton	349	1343	1694	0.877	-1.0778	Eriq	0.6196	Michael	556	-95 N
0	1031 kg	1.5871	cat	sACRAMENTO	-171	1922	-1264	0.2909	0.9644	Chris	0.7216	Lise	-1182	1406 N
8	840 kg	0.8385	rabbit	Moreno Valley, Santa Clarita	-631	779	599	0.7871	1.1044	Reilly	-0.0762	Chris	109	-21 N
4	-64 kg	-0.047	ferret	Riverside	-1299	2280	1299	-0.3943	-0.5203	Vani	1.8951	None	311	-165 N
8	-601 kg	0.9364	rabbit	Fresno	652	-303	443	0.9642	-0.7064	Reilly	-0.4098	Eriq	2019	989 N
3	628 kg	1.1178	pig	Long Beach, San Francisco, San Jose	593	-87	744	0.9739	-0.3964	Reilly	1.6011	Chris	63	969 N
6	398 kg	-1.5392	rat	Stockton	None	1011	-846	0.8518	-0.5861	Andrew	0.7764	Michael	NULL	649 N
9	523 kg	2.8126	guinea pig	Fremont	1823	331	1090	0.9539	1.0122	Tony	0.107	Reilly	1190	287 N
9	564 kg	1.8953	bird	Fremont	584	1461	2225	-0.0017	0.9302	Tony	0.5028	Andrew	-291	719 N
1	-231 kg	-0.225	fish	Fresno	273	461	3260	-0.7294	0.6941	Michael	0.0503	Vani	-270	693 N
4	228 kg	0.5898	ferret	Riverside	106	1256	883	0.6981	0.6149	Vani	0.0802	Sam	304	-264 N
5	-887 kg	-0.2523	hamster	San Diego	764	211	-682	-0.3282	-1.5728	Lise	0.2357	Reilly	1007	477 N
4	230 kg	1.2184	ferret	Riverside	573	722	1415	1.0658	0.2946	Vani	-0.1231	Sam	1477	313 N
9	656 kg	0.9225	guinea pig	San Diego, Oakland, San Bernardino, Modesto	354	1151	2231	1.8831	0.4676	Tony	1.8876	aNDREW	2758	1551 N
7	844 kg	-0.3567	dog	Santa Ana	-346	-396	355	1.1224	-1.0104	Chris	0.7978	Eriq	1497	384 N
2	720 kg	2.6911	chicken	Bakersfield	-736	443	1233	-0.0702	0.5421	Inan	-1.1094	Fabrice	791	-142 N
7	-72 kg	-0.8519	reptile	cHULA vISTA	-1100	-455	1877	-0.0323	0.4621	Chris	1.2437	Tony	1195	1945 N
3		0.7322	pig	N/A	31	592	1081	0.7051	0.7294	n/a	0.651	Inan	-121	856 N
3	449 kg	1.0034	pig	San Francisco	1220	-106	808	0.8159	-1.5653	Andrew	1.2614	Vani	-1331	1081 N
2	383 kg	0.4458	chicken	Bakersfield	238	625	-952	0.3601	1.0016	Inan	1.146	Michael	1573	1540 N
1	254 kg	-0.168	fish	Fresno	828	117	821	0.5329	-1.0025	Michael	1.022	Vani	943	390 N
